"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Program ID,Program Name,Category,Administrator,Eligible Counties,Eligible ZIP Codes,Application Status,Application Window,AMI Min %,AMI Max %,Income Standard,Household Size Used?,Household Composition Rule,Asset Limit,Eligible Tenure,Primary Residence Required,Utility Account Required,Rent/Mortgage Arrears Required,Property Type Rule,First-Time Homebuyer Required,Employment / Occupation Rule,Age Rule,Disability Rule,Veteran Rule,Children / Pregnancy Rule,Credit Score Min,DTI Max %,Home Price / Rent Cap,Citizenship / Immigration Rule,Crisis / Displacement Required,Other Hard Disqualifiers,Benefit Type,Maximum Benefit,Benefit Frequency,Priority Factors,Required Documents,Application Method,Source URL,Last Verified,Verification Status,Internal Notes,Phone,Email,Address,Online schedule link,Intake Hours,Service Area Detail,Eligibility Summary,Availability / Waitlist Notes,Primary Source Type,Secondary Source URL,Research Confidence,Partner Listing Count,Partner Listing IDs,Data Gaps / Follow-Up,Research Date,Application Form URL,Form Notes,Reverification Notes
XCEL-MAP-11,Medical Affordability Program (MAP),Utility bill discount - electric (medical),Xcel Energy,"Xcel electric territory incl. Stearns, Benton, Sherburne",Xcel electric service territory,"Open - first-come, first-served while funds last",Year-round,N/A,"N/A (uses State Median Income, not AMI)","Income limits typically mirror the EAP limits, but EAP enrolment is NOT required. If funds remain, eligibility may extend to customers above the income limit.",Yes,Household with a member requiring qualifying medical equipment,None,Renter or Homeowner,Yes,Yes - Xcel electric account,No,Any residential dwelling,No,None,None,QUALIFYING FACTOR - chronic or severe medical condition; a certified medical form must be on file,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,No,"First-come, first-served until funds run out. Enrolling automatically CANCELS averaged monthly payment (budget billing) enrolment.",Reduced monthly electric bill plus help with past-due balances,Varies by income and medical need,Monthly while enrolled,Documented medical equipment need,Completed application signed in full; Xcel account number (application cannot be processed without it); certified medical form from a provider,"Application to Energy CENTS Coalition - mail in the return envelope, fax to 651-774-0445, or complete the online form",https://cubminnesota.org/utility-affordability-programs,2026-08-10,Verified - application form and info sheet obtained  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5/6),UPGRADED from low confidence. No EAP award needed - so this is usable in the off-season. Warn clients that enrolling cancels budget billing.,Energy CENTS 1-888-774-9070 | Xcel 1-866-975-7327,,,,,Xcel electric customers statewide,Lower electric bills for income-qualified households that rely on electric medical equipment.,Unknown - verify.,Administrator website,https://www.minneapolismn.gov/news/2025/november/heating-and-electricity-assistance,Medium-High,0,,"Largely resolved. Still need the exact income threshold and the definition of a qualifying condition. Benefit amount still not published.  ||  NEXT ACTION - call Energy CENTS Coalition: 1. What is the income threshold for the Medical Affordability Programme?  2. What counts as a qualifying chronic or severe medical condition, and who can certify it?  3. What is the typical MAP benefit?  4. Confirm the Low Usage Affordability Credit is 35% of the energy charge, and what a household typically saves.  5. Is MAP enrolment currently open or has the budget been reached?",2026-08-10,https://www.xcelenergy.com/staticfiles/xe-responsive/Billing%20&%20Payment/17-9203%20(05-24)%20MN_MedicalAssist_App.pdf,Info sheet plus application also at .../Understanding Your Bill/MN Medical Affordability Info Sheet and Application.pdf. Online version: https://form.jotform.com/82526444042149,High priority - verify with Xcel before use.
CWR-12,Minnesota Cold Weather Rule (CWR),Shutoff protection (NOT a payment program),MN Public Utilities Commission; enforced by each gas/electric utility,"Statewide - Stearns, Benton, Sherburne and all others",Statewide,SEASONALLY INACTIVE - next protection period 2026-10-01 to 2027-04-30,Oct 1 - Apr 30 each year,N/A,N/A - uses 50% SMI,Household income at or below 50% State Median Income; receiving EAP automatically satisfies this,Yes,"Total household income, not individual",None,Renter or Homeowner (renters qualify if the utility account is in their name),Yes,Yes - and disconnection must affect the PRIMARY heat source,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,No,"Does NOT cover delivered fuels (propane, fuel oil, wood). Does not eliminate winter shutoff - you must make and keep a payment plan.",Protection from disconnection - no funds provided,N/A - not a financial benefit,Seasonal protection while payment plan is kept,None,Inability to Pay form (utility-provided); income verification or proof of EAP,Contact your utility directly and request CWR protection plus a payment plan,https://mn.gov/puc/,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5.5/6),"Include in the matrix as a protection row, not a funding row. Xcel reports low-income CWR plans can be capped near 10% of household income.",Contact your own utility; MPUC handles appeals,,,,,"Rate-regulated utilities (Xcel, CenterPoint, MERC, Minnesota Power, Otter Tail) follow an expanded rule; municipal utilities and electric cooperatives follow parallel statutes with similar protections",Blocks winter shutoff of primary heat for income-eligible households that establish and keep a payment plan.,"No funding limit - it is a legal protection, not a grant. If the utility and customer cannot agree on a plan, the customer has 10 days to appeal to the MPUC and service stays on during appeal.",Administrator website,https://www.stearnselectric.org/the-minnesota-cold-weather-rule-is-in-effect/,High,0,,Confirm 2026-27 season dates when MPUC publishes its fall notice.,2026-08-10,,,Reverify late Sept 2026.
STEARNS-EGA-13,Emergency General Assistance (EGA) - Stearns County,Utility crisis fund - county cash grant,Stearns County Human Services,Stearns County only,"56301, 56302, 56303, 56304, 56307, 56310, 56312, 56320, 56321, 56331, 56352, 56362, 56367, 56368, 56374, 56375, 56377, 56387",Open - year-round,Year-round; apply at time of crisis,N/A,"N/A (uses State Median Income, not AMI)",Under 200% of the Federal Poverty Guidelines (state ceiling per LawHelp MN). Counties set their own rules beneath that ceiling. All household resources are counted and must be used first.,Yes,ADULTS WITHOUT MINOR CHILDREN in the household,"Yes - all assets (checking, savings, other resources) reviewed and must be used first",Renter or Homeowner,Yes,Yes for utility-related requests,"Not required, but arrears are a covered use",Any residential dwelling,No,None,None,None,None,No requirement for EGA itself - households WITH minor children apply under Emergency Assistance (EA) instead,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,YES - documented emergency required,"CRITICAL DEADLINE: apply within 30 DAYS of the emergency - the county can only backdate eligibility to the date of the emergency if the application arrives inside 30 days. Once every 12 months. Assistance must fully RESOLVE the crisis. Applicant must exhaust own funds first. Counties may also review how money was spent in the 1-2 months before applying, and may require US citizenship or legal residence.","One-time cash grant paid to vendor - covers electric, gas, water, heating fuel, rent, mortgage, deposits, moving, appliance repair",County-determined; may not cover the entire emergency,Once every 12 months,"Imminent shutoff, eviction, health/safety threat",Application form; photo ID; birth certificate; proof of address; gross income for past 30 days for all household members; asset verification; utility disconnect notice or eviction notice,Apply online at MNbenefits (about 20 minutes) or submit the Combined Application Form DHS-5223 to the county. An interview is usually required and is often not same-day. Some counties add a local emergency addendum form.,https://www.stearnscountymn.gov/1479/Human-Services,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5.5/6),"Households in St. Cloud may fall in Stearns, Benton, OR Sherburne county - confirm county by address, not by mailing city.",(320) 656-6000 / (320) 650-5839 / (800) 450-3663,hs.information@stearnscountymn.gov,"705 Courthouse Square, Fl 2, PO Box 1107, St. Cloud, MN 56303",,"Mon-Fri, 8:00am-4:30pm",Stearns County residents only - county of residence determines which office to use,One-time county crisis grant for low-income adults without minor children facing utility shutoff or similar emergency.,"Counties can and do run out of EGA money before the fiscal year ends, after which grants pause until refunded. Appeals can be expedited - request in writing.",Administrator website,https://mn.gov/dhs/people-we-serve/adults/health-care/health-care-programs/contact-us/county-tribal-state-offices.jsp,High,0,,"Income ceiling resolved (200% FPG). Still need each county's own grant cap and whether Stearns, Benton or Sherburne require a local addendum form.  ||  NEXT ACTION - call Stearns County Human Services: 1. Do you have a written EGA and EA policy I could have a copy of?  2. What is the maximum grant for each, and is it per-household or per-emergency?  3. Do you require a county addendum on top of the DHS-5223 or MNbenefits application?  4. What income guidelines do you apply beneath the 200% FPG ceiling?  5. How long from application to decision, and is the interview always required?  6. Have you exhausted EGA funds in recent fiscal years, and if so when in the year?  7. What most commonly causes a denial?",2026-08-10,https://mnbenefits.mn.gov/ (online) | https://edocs.dhs.state.mn.us/lfserver/Public/DHS-5223-ENG-pform (CAF DHS-5223),Page 1 of the CAF is what flags the request as an emergency and triggers an expedited interview. Verification requirements for EGA are the same as for General Assistance.,Reverify annually.
STEARNS-EA-14,Emergency Assistance (EA) - Families with Children - Stearns County,Utility crisis fund - county cash grant,Stearns County Human Services,Stearns County only,"56301, 56302, 56303, 56304, 56307, 56310, 56312, 56320, 56321, 56331, 56352, 56362, 56367, 56368, 56374, 56375, 56377, 56387",Open - year-round,Year-round; apply at time of crisis,N/A,"N/A (uses State Median Income, not AMI)",County-set income guidelines; must show ability to pay bills going forward,Yes,"FAMILIES WITH MINOR CHILDREN, or pregnant individuals",Yes - household resources reviewed,Renter or Homeowner,Yes,Yes for utility-related requests,No,Any residential dwelling,No,None,None,None,None,REQUIRED - minor child in the household or pregnancy,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,YES - housing or utility crisis required,Once every 12 months (some counties longer). Must resolve the crisis. MFIP enrolment NOT required. Check with the county about funding availability BEFORE applying.,One-time cash grant paid to vendor for housing/utility crisis,County-determined,Once every 12 months,Families facing shutoff or homelessness,Application; ID for household; proof of income past 30 days; asset verification; disconnect or eviction notice; proof of pregnancy or children,Apply online at MNbenefits or submit the Combined Application Form DHS-5223. Interview usually required.,https://www.stearnscountymn.gov/1479/Human-Services,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5/6),"EA and EGA are the two halves of county crisis aid, split by household composition. Screen on children/pregnancy first.",(320) 656-6000 / (320) 650-5839 / (800) 450-3663,hs.information@stearnscountymn.gov,"705 Courthouse Square, Fl 2, PO Box 1107, St. Cloud, MN 56303",,"Mon-Fri, 8:00am-4:30pm",Stearns County residents only,One-time county crisis grant for families with minor children or pregnant applicants facing a utility or housing crisis.,Policies and dollar amounts differ county to county - confirm locally.,Administrator website,https://mn.gov/dhs/,High,0,,"Need Stearns County's income guidelines and grant caps.  ||  NEXT ACTION - call Stearns County Human Services: 1. Do you have a written EGA and EA policy I could have a copy of?  2. What is the maximum grant for each, and is it per-household or per-emergency?  3. Do you require a county addendum on top of the DHS-5223 or MNbenefits application?  4. What income guidelines do you apply beneath the 200% FPG ceiling?  5. How long from application to decision, and is the interview always required?  6. Have you exhausted EGA funds in recent fiscal years, and if so when in the year?  7. What most commonly causes a denial?",2026-08-10,https://mnbenefits.mn.gov/ | https://edocs.dhs.state.mn.us/lfserver/Public/DHS-5223-ENG-pform,"The CAF covers EA alongside SNAP, GA, MFIP, MSA, Housing Support and RCA. Turn in pages 1-12. The application date is set once name, address and signature are received.",Reverify annually.
BENTON-EGA-15,Emergency General Assistance (EGA) - Benton County,Utility crisis fund - county cash grant,Benton County Human Services,Benton County only,"56304, 56329, 56330, 56353, 56379, 56386",Open - year-round,Year-round; apply at time of crisis,N/A,"N/A (uses State Median Income, not AMI)",Under 200% of the Federal Poverty Guidelines (state ceiling per LawHelp MN). Counties set their own rules beneath that ceiling. All household resources are counted and must be used first.,Yes,ADULTS WITHOUT MINOR CHILDREN in the household,"Yes - all assets (checking, savings, other resources) reviewed and must be used first",Renter or Homeowner,Yes,Yes for utility-related requests,"Not required, but arrears are a covered use",Any residential dwelling,No,None,None,None,None,No requirement for EGA itself - households WITH minor children apply under Emergency Assistance (EA) instead,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,YES - documented emergency required,"CRITICAL DEADLINE: apply within 30 DAYS of the emergency - the county can only backdate eligibility to the date of the emergency if the application arrives inside 30 days. Once every 12 months. Assistance must fully RESOLVE the crisis. Applicant must exhaust own funds first. Counties may also review how money was spent in the 1-2 months before applying, and may require US citizenship or legal residence.","One-time cash grant paid to vendor - covers electric, gas, water, heating fuel, rent, mortgage, deposits, moving, appliance repair",County-determined; may not cover the entire emergency,Once every 12 months,"Imminent shutoff, eviction, health/safety threat",Application form; photo ID; birth certificate; proof of address; gross income for past 30 days for all household members; asset verification; utility disconnect notice or eviction notice,Apply online at MNbenefits (about 20 minutes) or submit the Combined Application Form DHS-5223 to the county. An interview is usually required and is often not same-day. Some counties add a local emergency addendum form.,https://www.bentoncountymn.gov/284/Human-Services,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5.5/6),"Households in St. Cloud may fall in Stearns, Benton, OR Sherburne county - confirm county by address, not by mailing city.",(320) 968-5087 / (800) 530-6254,,"531 Dewey St, PO Box 740, Foley, MN 56329",,"Mon-Fri, 8:00am-4:30pm",Benton County residents only - county of residence determines which office to use,One-time county crisis grant for low-income adults without minor children facing utility shutoff or similar emergency.,"Counties can and do run out of EGA money before the fiscal year ends, after which grants pause until refunded. Appeals can be expedited - request in writing.",Administrator website,https://mn.gov/dhs/people-we-serve/adults/health-care/health-care-programs/contact-us/county-tribal-state-offices.jsp,High,0,,"Income ceiling resolved (200% FPG). Still need each county's own grant cap and whether Stearns, Benton or Sherburne require a local addendum form.  ||  NEXT ACTION - call Benton County Human Services: Same seven questions as Stearns County.",2026-08-10,https://mnbenefits.mn.gov/ (online) | https://edocs.dhs.state.mn.us/lfserver/Public/DHS-5223-ENG-pform (CAF DHS-5223),Page 1 of the CAF is what flags the request as an emergency and triggers an expedited interview. Verification requirements for EGA are the same as for General Assistance.,Reverify annually.
BENTON-EA-16,Emergency Assistance (EA) - Families with Children - Benton County,Utility crisis fund - county cash grant,Benton County Human Services,Benton County only,"56304, 56329, 56330, 56353, 56379, 56386",Open - year-round,Year-round; apply at time of crisis,N/A,"N/A (uses State Median Income, not AMI)",County-set income guidelines; must show ability to pay bills going forward,Yes,"FAMILIES WITH MINOR CHILDREN, or pregnant individuals",Yes - household resources reviewed,Renter or Homeowner,Yes,Yes for utility-related requests,No,Any residential dwelling,No,None,None,None,None,REQUIRED - minor child in the household or pregnancy,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,YES - housing or utility crisis required,Once every 12 months (some counties longer). Must resolve the crisis. MFIP enrolment NOT required. Check with the county about funding availability BEFORE applying.,One-time cash grant paid to vendor for housing/utility crisis,County-determined,Once every 12 months,Families facing shutoff or homelessness,Application; ID for household; proof of income past 30 days; asset verification; disconnect or eviction notice; proof of pregnancy or children,Apply online at MNbenefits or submit the Combined Application Form DHS-5223. Interview usually required.,https://www.bentoncountymn.gov/284/Human-Services,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5/6),"EA and EGA are the two halves of county crisis aid, split by household composition. Screen on children/pregnancy first.",(320) 968-5087 / (800) 530-6254,,"531 Dewey St, PO Box 740, Foley, MN 56329",,"Mon-Fri, 8:00am-4:30pm",Benton County residents only,One-time county crisis grant for families with minor children or pregnant applicants facing a utility or housing crisis.,Policies and dollar amounts differ county to county - confirm locally.,Administrator website,https://mn.gov/dhs/,High,0,,Need Benton County's income guidelines and grant caps.  ||  NEXT ACTION - call Benton County Human Services: Same seven questions as Stearns County.,2026-08-10,https://mnbenefits.mn.gov/ | https://edocs.dhs.state.mn.us/lfserver/Public/DHS-5223-ENG-pform,"The CAF covers EA alongside SNAP, GA, MFIP, MSA, Housing Support and RCA. Turn in pages 1-12. The application date is set once name, address and signature are received.",Reverify annually.
SHERBURNE-EGA-17,Emergency General Assistance (EGA) - Sherburne County,Utility crisis fund - county cash grant,Sherburne County Health & Human Services,Sherburne County only,"55308, 55309, 55330, 55362, 55398, 56304, 56379",Open - year-round,Year-round; apply at time of crisis,N/A,"N/A (uses State Median Income, not AMI)",Under 200% of the Federal Poverty Guidelines (state ceiling per LawHelp MN). Counties set their own rules beneath that ceiling. All household resources are counted and must be used first.,Yes,ADULTS WITHOUT MINOR CHILDREN in the household,"Yes - all assets (checking, savings, other resources) reviewed and must be used first",Renter or Homeowner,Yes,Yes for utility-related requests,"Not required, but arrears are a covered use",Any residential dwelling,No,None,None,None,None,No requirement for EGA itself - households WITH minor children apply under Emergency Assistance (EA) instead,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,YES - documented emergency required,"CRITICAL DEADLINE: apply within 30 DAYS of the emergency - the county can only backdate eligibility to the date of the emergency if the application arrives inside 30 days. Once every 12 months. Assistance must fully RESOLVE the crisis. Applicant must exhaust own funds first. Counties may also review how money was spent in the 1-2 months before applying, and may require US citizenship or legal residence.","One-time cash grant paid to vendor - covers electric, gas, water, heating fuel, rent, mortgage, deposits, moving, appliance repair",County-determined; may not cover the entire emergency,Once every 12 months,"Imminent shutoff, eviction, health/safety threat",Application form; photo ID; birth certificate; proof of address; gross income for past 30 days for all household members; asset verification; utility disconnect notice or eviction notice,Apply online at MNbenefits (about 20 minutes) or submit the Combined Application Form DHS-5223 to the county. An interview is usually required and is often not same-day. Some counties add a local emergency addendum form.,https://www.co.sherburne.mn.us/429/Emergency-Assistance,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5.5/6),"Households in St. Cloud may fall in Stearns, Benton, OR Sherburne county - confirm county by address, not by mailing city.",(763) 765-4000 / (800) 433-5239,,"13880 Business Center Dr NW, Ste 100, Elk River, MN 55330",,"Mon-Fri, 8:00am-4:30pm",Sherburne County residents only - county of residence determines which office to use,One-time county crisis grant for low-income adults without minor children facing utility shutoff or similar emergency.,"Counties can and do run out of EGA money before the fiscal year ends, after which grants pause until refunded. Appeals can be expedited - request in writing.",Administrator website,https://mn.gov/dhs/people-we-serve/adults/health-care/health-care-programs/contact-us/county-tribal-state-offices.jsp,High,0,,"Income ceiling resolved (200% FPG). Still need each county's own grant cap and whether Stearns, Benton or Sherburne require a local addendum form.  ||  NEXT ACTION - call Sherburne County Health & Human Services: Same seven questions as Stearns County, plus: 8. What does the mobile outreach office in St. Cloud handle, and on what schedule?",2026-08-10,https://mnbenefits.mn.gov/ (online) | https://edocs.dhs.state.mn.us/lfserver/Public/DHS-5223-ENG-pform (CAF DHS-5223),Page 1 of the CAF is what flags the request as an emergency and triggers an expedited interview. Verification requirements for EGA are the same as for General Assistance.,Reverify annually.
SHERBURNE-EA-18,Emergency Assistance (EA) - Families with Children - Sherburne County,Utility crisis fund - county cash grant,Sherburne County Health & Human Services,Sherburne County only,"55308, 55309, 55330, 55362, 55398, 56304, 56379",Open - year-round,Year-round; apply at time of crisis,N/A,"N/A (uses State Median Income, not AMI)",County-set income guidelines; must show ability to pay bills going forward,Yes,"FAMILIES WITH MINOR CHILDREN, or pregnant individuals",Yes - household resources reviewed,Renter or Homeowner,Yes,Yes for utility-related requests,No,Any residential dwelling,No,None,None,None,None,REQUIRED - minor child in the household or pregnancy,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,YES - housing or utility crisis required,Once every 12 months (some counties longer). Must resolve the crisis. MFIP enrolment NOT required. Check with the county about funding availability BEFORE applying.,One-time cash grant paid to vendor for housing/utility crisis,County-determined,Once every 12 months,Families facing shutoff or homelessness,Application; ID for household; proof of income past 30 days; asset verification; disconnect or eviction notice; proof of pregnancy or children,Apply online at MNbenefits or submit the Combined Application Form DHS-5223. Interview usually required.,https://www.co.sherburne.mn.us/429/Emergency-Assistance,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5/6),"EA and EGA are the two halves of county crisis aid, split by household composition. Screen on children/pregnancy first.",(763) 765-4000 / (800) 433-5239,,"13880 Business Center Dr NW, Ste 100, Elk River, MN 55330",,"Mon-Fri, 8:00am-4:30pm","Sherburne County residents only. Sherburne County also runs a mobile outreach office serving St. Cloud, Elk River and Zimmerman.",One-time county crisis grant for families with minor children or pregnant applicants facing a utility or housing crisis.,Policies and dollar amounts differ county to county - confirm locally.,Administrator website,https://mn.gov/dhs/,High,0,,"Need Sherburne County's income guidelines and grant caps.  ||  NEXT ACTION - call Sherburne County Health & Human Services: Same seven questions as Stearns County, plus: 8. What does the mobile outreach office in St. Cloud handle, and on what schedule?",2026-08-10,https://mnbenefits.mn.gov/ | https://edocs.dhs.state.mn.us/lfserver/Public/DHS-5223-ENG-pform,"The CAF covers EA alongside SNAP, GA, MFIP, MSA, Housing Support and RCA. Turn in pages 1-12. The application date is set once name, address and signature are received.",Reverify annually.
CC-EFA-19,Catholic Charities Emergency Financial Assistance,Emergency financial assistance - DOES NOT COVER UTILITIES,Catholic Charities of the Diocese of St. Cloud,"16 counties of the Diocese of St. Cloud; primary service area Stearns, Benton, Sherburne","Primary: 56301, 56302, 56303, 56304, 56374, 56377, 56379, 56387",Open for other needs - UTILITIES EXPLICITLY EXCLUDED,"Year-round, funding-dependent",N/A,"N/A (uses State Median Income, not AMI)",Need-based; no published income table,Yes,Individuals and families,None,Renter or Homeowner,Yes,,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,Yes - financial crisis,"CONFIRMED EXCLUSION: Catholic Charities states that rent, deposits, utilities and bills are NOT eligible for its Financial Assistance program.","Vendor-paid help with fuel/gas cards, bus passes, prescriptions and co-pays, birth certificates, state IDs and driver's licence renewals, apartment application fees. NOT utility bills.",Varies by eligibility and available funds,Varies - typically limited per year,Immediate crisis; available funding,Photo ID for household members; proof of address; income knowledge for TEFAP screening,Appointment required at least 24 hours ahead via website or phone; walk-ins accommodated only if slots are open,https://www.ccstcloud.org/other-services,2026-08-10,Verified - exclusion confirmed on administrator website  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5.5/6),"CORRECTED 2026-08-10, NUANCED again on coalition pass. Catholic Charities EMERGENCY SERVICES financial assistance excludes utilities. BUT Catholic Charities HOUSING STABILITY DIVISION delivers FHPAP, which DOES pay utilities - see FHPAP-CC-32. Two different divisions of the same agency, opposite answers. Ask for the right desk by name.",(320) 229-4567,,"157 Roosevelt Rd, St. Cloud, MN 56301 (verify current address)",https://www.ccstcloud.org/,"By appointment, Mon-Fri","Primary service area: St. Cloud, St. Augusta, Sartell, Sauk Rapids, Waite Park","DO NOT REFER TO EMERGENCY SERVICES FOR UTILITY BILLS - useful only for transportation, prescriptions and ID costs. For utility arrears at Catholic Charities, go to the Housing Stability Division's FHPAP program instead (row FHPAP-CC-32).",Appointment-based; same-day appointments not available.,Administrator website,https://mn.gov/adresources/search/448a3afc-916f-5d2e-a53f-15c22cf8d73a/,High,0,,Resolved. Street address still unconfirmed.,2026-08-10,,,Recheck annually in case scope changes.
SEA-PAY-20,Stearns Electric Payment Arrangement & CWR Protection,Utility payment plan (co-op),Stearns Electric Association,"Stearns, Todd, Morrison, Kandiyohi, Pope, Douglas (rural service territory)","Rural Stearns County and surrounding - 56307, 56310, 56312, 56320, 56321, 56331, 56352, 56362, 56374, 56378, 56387",Open - year-round for payment plans; CWR protection Oct 1 - Apr 30,Year-round,N/A,"N/A (uses State Median Income, not AMI)",Payment plans: none. CWR protection: at or below 50% State Median Income.,Yes,Total household income for CWR purposes,None,Renter or Homeowner,Yes,Yes - active Stearns Electric membership,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,No,"For CWR: electricity must be the primary heat source, account must be current as of Oct 1 or on an agreed plan, and an Inability to Pay form must be filed",Deferred payment arrangement; winter shutoff protection. No grant funds.,N/A - not a financial grant,As arranged,None,Inability to Pay form; income documentation for CWR,Call the Member Accounts Department during business hours,https://www.stearnselectric.org/account-services/billing-information/financial-assistance/,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5/6),"Co-op refers members out to Tri-CAP, Salvation Army HeatShare, and county human services for actual funds. Operation Round Up funds go to NONPROFITS, not directly to households - do not list as household aid.",(320) 251-1100 - verify current number,,"PO Box 816, Melrose, MN 56352 / St. Joseph, MN 56374",,Mon-Fri business hours,"Member-owned co-op serving nearly 25,000 members across six central MN counties; serves rural areas OUTSIDE St. Cloud city limits",Payment plans available to any member in hardship; winter shutoff protection for members at or below 50% SMI.,"No funding limit - these are account arrangements, not grants.",Administrator website,https://mn.gov/puc/consumers/shut-off-protection,Medium-High,0,,Confirm current member accounts phone number and whether any direct member hardship fund exists.  ||  NEXT ACTION - call Stearns Electric Association: 1. Confirm the current phone number for hardship and payment arrangements.  2. Do you hold any member hardship fund that pays a household directly?  3. What does a Cold Weather Rule payment plan look like in practice â€” how is the amount set?  4. ERMU only: can the budget-billing zero-balance requirement ever be waived?,2026-08-10,,,Reverify annually before heating season.
ERMU-PAY-21,"ERMU Payment Options, Budget Billing & CWR",Utility payment plan (municipal),Elk River Municipal Utilities (ERMU),"Sherburne (Elk River, parts of Otsego, Dayton, Big Lake Township)","55330, 55301, 55309, 55327",Open - year-round,Year-round,N/A,"N/A (uses State Median Income, not AMI)",Budget billing: none. CWR protection: at or below 50% State Median Income.,Yes,Per account,None,Renter or Homeowner,Yes,Yes - ERMU electric and/or water account,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,No,Budget billing requires at least 1 year at the current residence AND a zero account balance to enroll,Budget billing (levels payments across 12 months); payment arrangements; CWR shutoff protection,N/A - not a financial grant,Ongoing,None,Account in good standing for budget billing; Inability to Pay form for CWR,Contact ERMU customer service or enroll via SmartHub,https://www.ermumn.com/manage-account/financial-assistance,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5/6),"Relevant only to the eastern (Sherburne County) edge of the greater St. Cloud area. Municipal utilities follow a parallel CWR statute, not the expanded rate-regulated version.",(763) 441-2020 - verify current number,,"13069 Orono Parkway, PO Box 430, Elk River, MN 55330",,Mon-Fri business hours,"Municipal electric and water utility; electric also to parts of Otsego, Dayton, Big Lake Township","Payment smoothing and shutoff protection, not grant money. ERMU directs customers to county and agency programs for funds.",No funding limit.,Administrator website,http://www.mmpa.org/communities/elk-river/,Medium,0,,Confirm phone number; confirm whether ERMU operates any customer hardship fund.  ||  NEXT ACTION - call Stearns Electric Association: 1. Confirm the current phone number for hardship and payment arrangements.  2. Do you hold any member hardship fund that pays a household directly?  3. What does a Cold Weather Rule payment plan look like in practice â€” how is the amount set?  4. ERMU only: can the budget-billing zero-balance requirement ever be waived?,2026-08-10,,,Reverify annually.
CAER-22,Community Aid Elk River (CAER) - Basic Needs Assistance,Emergency financial assistance (local nonprofit),Community Aid Elk River (CAER),"Sherburne (Elk River, Otsego, Zimmerman)","55330, 55301, 55398",Open - VERIFY current utility assistance availability,"Year-round, funding-dependent",N/A,"N/A (uses State Median Income, not AMI)",Need-based; no published income table,Yes,Individuals and families,None,Renter or Homeowner,Yes,,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,Yes - typically requires an active utility or housing emergency,,"Food shelf plus limited financial help with basic needs, which may include utilities",Unknown - not published,Unknown,Local residents in immediate need,"ID, proof of residence in service area - confirm with agency",Call or visit,https://www.caerfoodshelf.org/get-help/other-support,2026-08-10,Needs verification  ||  INTAKE KNOWLEDGE: MINIMAL (1/6),"Listed in the state Help Me Connect energy assistance directory, which is why it is included. Scope of utility help unverified.",(763) 441-1020,info@caerfoodshelf.org,"12621 Elk Lake Rd NW, Elk River, MN 55330",,Confirm by phone,"Strictly Elk River, Otsego and Zimmerman - narrow footprint at the far edge of the greater St. Cloud area",Local food shelf and basic-needs agency; utility help is possible but unconfirmed in scope.,Small local nonprofit - assume limited funds.,Administrator website,https://helpmeconnect.web.health.state.mn.us/,Low,0,,"PRIORITY: confirm whether CAER pays utility bills directly, and typical amounts.  ||  NEXT ACTION - call Community Aid Elk River: 1. Do you pay utility bills at all, or only provide food?  2. If yes, what are the limits and how does someone apply?  3. What is your service area exactly?",2026-08-10,,,Verify before client-facing use.
